번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
22,078150,HB테크놀러지,032902,특수 목적용 기계 제조업,"78,990,426","39,495,213,000","500",원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 ,1467
23,036640,HRS,032002,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000","500",원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 ,1467
24,335870,IBKS제12호스팩,116601,금융 지원 서비스업,"3,120,000","312,000,000","100",원(KRW),02-6915-5573,서울특별시 영등포구 국제금융로6길 11 &nbsp,1467
25,351340,IBKS제13호스팩,116601,금융 지원 서비스업,"5,170,000","517,000,000","100",원(KRW),02-6915-5361,"서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) ",1467
26,351320,IBKS제14호스팩,116409,기타 금융업,"4,330,000","433,000,000","100",원(KRW),02-6915-5797,서울특별시 영등포구 국제금융로6길 11 ,1467
27,095340,ISC,032602,전자부품 제조업,"14,142,508","7,071,254,000","500",원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)",1467
28,099520,ITX-AI,032605,영상 및 음향기기 제조업,"29,301,683","14,650,841,500","500",원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,1467
29,950170,JTC,074701,종합 소매업,"35,005,517","0","0",일본엔(JPY),02-785-9101,"6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan ",1467
30,067290,JW신약,032102,의약품 제조업,"41,667,166","20,833,583,000","500",원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477 ,1467
31,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,"35,497,492","17,943,451,500","500",원(KRW),02-2225-8100,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) ",1467
32,024840,KBI메탈,032402,1차 비철금속 제조업,"32,950,848","16,475,424,000","500",원(KRW),053 -615 -1161,대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장,1467
33,024120,KB오토시스,033003,자동차 신품 부품 제조업,"11,500,000","5,750,000,000","500",원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24 ,1467
34,021320,KCC건설,064101,건물 건설업,"21,400,000","107,000,000,000","5,000",원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설 ,1467
35,036670,KCI,032004,기타 화학제품 제조업,"11,270,000","5,635,000,000","500",원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7 ,1467
36,044180,KD,064101,건물 건설업,"16,525,360","8,262,680,000","500",원(KRW),070-5138-4366,경기도 안산시 단원구 광덕서로 102 406-3호,1467
37,151860,KG ETS,053802,폐기물 처리업,"36,000,000","20,051,860,000","500",원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주),1467
38,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,"38,825,568","19,412,784,000","500",원(KRW),(02)2192-2000,서울특별시 중구 통일로 92 케이지타워 16층,1467
39,035600,KG이니시스,105802,소프트웨어 개발 및 공급업,"27,904,434","13,952,217,000","500",원(KRW),(02)3430-5913,"서울특별시 중구 통일로 92 케이지타워 14,15층",1467
40,060720,KH바텍,032602,전자부품 제조업,"23,673,903","11,836,951,500","500",원(KRW),054-465-0630,경상북도 구미시  1공단로10길 53-12 (주)KH바텍 ,1467
41,122450,KMH,106002,텔레비전 방송업,"22,667,982","11,434,247,500","500",원(KRW),02-2647-1255,서울특별시 양천구  목동서로 201 KT정보전산센터 7층,1467
42,052900,KMH하이텍,032202,플라스틱제품 제조업,"46,885,499","23,442,749,500","500",원(KRW),(041)539-6114,충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 ,1467
43,058400,KNN,106002,텔레비전 방송업,"132,429,720","66,214,860,000","500",원(KRW),051-850-9214,부산광역시 해운대구  센텀서로 30 케이엔엔타워 ,1467
44,114450,KPX생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000","500",원(KRW),061-688-4600,전라남도 여수시 여수산단2로 84 ,1467
45,036030,KTH,074601,상품 중개업,"35,715,022","35,715,022,000","1,000",원(KRW),02-1588-5668,서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 ,1467
46,060370,KT서브마린,064203,전기 및 통신 공사업,"21,900,000","21,900,000,000","1,000",원(KRW),(051)704-0004,부산광역시 해운대구 송정광어골로 42  ,1467
47,065150,MP그룹,074603,음·식료품 및 담배 도매업,"124,435,974","12,443,597,400","100",원(KRW),02-596-3300,서울특별시 서초구  효령로 132 미피하우스,1467
48,219550,MP한강,074604,생활용품 도매업,"64,596,999","6,459,699,900","100",원(KRW),02-3773-8373,서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호,1467
49,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","27,906,106","13,953,053,000","500",원(KRW),02-3490-9300,서울특별시 강남구 학동로9길 5 - ,1467
50,053290,NE능률,105801,"서적, 잡지 및 기타 인쇄물 출판업","16,526,307","8,263,153,500","500",원(KRW),02-2014-7114,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 ,1467
51,104200,NHN벅스,105802,소프트웨어 개발 및 공급업,"14,827,550","7,413,775,000","500",원(KRW),031-8038-4186,경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄,1467
52,060250,NHN한국사이버결제,106309,기타 정보 서비스업,"22,971,393","11,485,696,500","500",원(KRW),(02)2108-1000,서울특별시 구로구 디지털로26길 72 - ,1467
53,030190,NICE평가정보,106309,기타 정보 서비스업,"60,714,820","30,357,410,000","500",원(KRW),02-2122-4000,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 ,1467
54,078590,OQP,033003,자동차 신품 부품 제조업,"78,724,637","15,744,927,400","200",원(KRW),02-6925-2168,경남 밀양시 산내면 가인리 364번지 ,1467
55,178920,PI첨단소재,032202,플라스틱제품 제조업,"29,366,322","14,683,161,000","500",원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27 ,1467
56,024940,PN풍년,032509,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000","500",원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620 ,1467
57,218410,RFHIC,032604,통신 및 방송 장비 제조업,"23,847,620","11,923,810,000","500",원(KRW),031-8069-3016,경기도 안양시 동안구 부림로 170 41-14(관양동),1467
58,091340,S&K폴리텍,032602,전자부품 제조업,"11,703,721","5,851,860,500","500",원(KRW),031-432-8061,경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지,1467
59,019550,SBI인베스트먼트,116402,신탁업 및 집합투자업,"162,066,575","83,533,287,500","500",원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층 ,1467
60,950110,SBI핀테크솔루션즈,105802,소프트웨어 개발 및 공급업,"24,048,040","0","0",일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 ",1467
61,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,463,555","10,731,777,500","500",원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 ",1467
62,036120,SCI평가정보,106309,기타 정보 서비스업,"35,500,000","17,750,000,000","500",원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩 ,1467
63,099220,SDN,074605,기계장비 및 관련 물품 도매업,"48,178,714","24,089,357,000","500",원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  ,1467
64,036540,SFA반도체,032601,반도체 제조업,"164,460,303","82,487,451,500","500",원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) ,1467
65,255220,SG,032309,기타 비금속 광물제품 제조업,"36,720,027","3,672,002,700","100",원(KRW),032-574-6525,"인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp",1467
66,040610,SG&G,033003,자동차 신품 부품 제조업,"34,087,196","17,043,598,000","500",원(KRW),02-2105-6315,경기도 안산시 단원구 원시로 239-10 (원시동),1467
67,049470,SGA,105802,소프트웨어 개발 및 공급업,"48,812,249","48,812,249,000","1,000",원(KRW),070-7308-9319,"서울특별시 송파구 정의로8길 4 케이디70, 1004호 ",1467
68,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,"36,676,033","3,667,603,300","100",원(KRW),02-574-6856,"서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비즈니스파크) ",1467
69,016250,SGC이테크건설,064101,건물 건설업,"1,581,383","7,906,915,000","5,000",원(KRW),02-489-9000,서울특별시 서초구 양재대로 246(염곡동) ,1467
70,307070,SK4호스팩,116601,금융 지원 서비스업,"5,160,000","516,000,000","100",원(KRW),02-3773-9151,서울특별시 영등포구 국제금융로8길 31 4층 &nbsp,1467
71,337450,SK5호스팩,116601,금융 지원 서비스업,"4,310,000","431,000,000","100",원(KRW),02-3773-8227,"서울특별시 영등포구 국제금융로8길 31, 4층 ",1467
72,340350,SK6호스팩,116601,금융 지원 서비스업,"5,710,000","571,000,000","100",원(KRW),02-3773-9131,"서울특별시 영등포구 국제금융로8길 31, 4층 ",1467
73,036490,SK머티리얼즈,032001,기초 화학물질 제조업,"10,547,673","5,273,836,500","500",원(KRW),054-630-8114,경상북도 영주시  가흥공단로 59-33 ,1467
74,048550,SM C&C,137103,광고업,"94,610,120","47,305,060,000","500",원(KRW),02-3788-0000,서울특별시 강남구 삼성로 648한섬빌딩 ,1467
75,063440,SM Life Design,031802,기록매체 복제업,"45,129,154","22,924,577,000","500",원(KRW),031-955-7171,경기도 파주시 직지길 376 ,1467
76,950180,SNK,105802,소프트웨어 개발 및 공급업,"21,061,800","0","0",일본엔(JPY),+81-06-6339-6362,"1-16-17, Esakacho, Suitasi, Osaka, Japan ",1467
77,289080,SV인베스트먼트,116409,기타 금융업,"53,234,000","26,617,000,000","500",원(KRW),02-3775-1020,"서울특별시 영등포구 국제금융로 10 46층 (여의도동, 쓰리아이에프씨)",1467
78,089230,THE E&M,106309,기타 정보 서비스업,"160,411,688","16,041,168,800","100",원(KRW),02-2088-8222,서울특별시 강남구 논현로 842 압구정빌딩 8층(신사동) ,1467
79,161570,THE MIDONG,032605,영상 및 음향기기 제조업,"13,791,786","6,895,893,000","500",원(KRW),070-7425-0614,서울특별시 서초구 남부순환로 2652 대명빌딩 7층 ,1467
80,032540,TJ미디어,032605,영상 및 음향기기 제조업,"13,931,609","6,965,804,500","500",원(KRW),02  -3663-4700,서울특별시 강서구 화곡로64길 23 ,1467
81,048770,TPC,032901,일반 목적용 기계 제조업,"13,480,276","6,740,138,000","500",원(KRW),032 -572 -1700,인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터 ,1467
82,246690,TS인베스트먼트,116402,신탁업 및 집합투자업,"24,324,534","12,162,267,000","500",원(KRW),02-6250-5700,"서울특별시 강남구 선릉로 531, 3층 302호 ",1467
83,317240,TS트릴리온,032004,기타 화학제품 제조업,"50,454,511","5,045,451,100","100",원(KRW),02-2122-9226,"서울특별시 영등포구 양평로 96 1층,6층,8층(양평동4가,티에스빌딩)",1467
84,038340,UCI,168505,일반 교습 학원,"37,397,367","18,748,683,500","500",원(KRW),(02)3438-6900,"서울특별시 구로구 디지털로33길 48 604호(구로동, 대륭포스트타워7차)",1467
85,073570,WI,032902,특수 목적용 기계 제조업,"75,840,849","7,584,084,900","100",원(KRW),041-582-5700,충청남도 천안시 서북구 직산읍 4산단7로 17-15 -,1467
86,052300,W홀딩컴퍼니,085209,기타 운송관련 서비스업,"232,418,093","23,241,809,300","100",원(KRW),02-6237-9784,"서울특별시 강남구 도산대로 414 14층(청담동, 한성청담빌딩) ",1467
87,057030,YBM넷,168507,교육지원 서비스업,"16,312,697","8,156,348,500","500",원(KRW),(02) 2008-5200,"경기도 성남시 분당구 대왕판교로 670 유스페이스2 A동 8,9층 ",1467
88,040300,YTN,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","42,000,000","42,000,000,000","1,000",원(KRW),(02) 398-8000,서울특별시 마포구 상암산로 76와이티엔뉴스퀘어 ,1467
89,051390,YW,074608,상품 종합 도매업,"11,355,368","5,677,684,000","500",원(KRW),(031)703-7118,"경기도 성남시 분당구  야탑남로 280 801(야탑동,분당테크노파크씨동)",1467
90,052220,iMBC,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","23,000,000","11,500,000,000","500",원(KRW),(02)2105-1100,"서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터) ",1467
91,079940,가비아,105802,소프트웨어 개발 및 공급업,"13,535,684","6,767,842,000","500",원(KRW),1544-4370,"경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호,501호",1467
92,078890,가온미디어,032604,통신 및 방송 장비 제조업,"15,074,293","7,537,146,500","500",원(KRW),031-724-8500,경기도 성남시 분당구  성남대로 884-3 ,1467
93,192410,감마누,032604,통신 및 방송 장비 제조업,"26,903,874","13,451,937,000","500",원(KRW),031-831-8800,경기도 화성시 삼성1로 150 208호(석우동) ,1467
94,217730,강스템바이오텍,032101,기초 의약물질 및 생물학적 제제 제조업,"24,836,666","12,418,333,000","500",원(KRW),02-888-1590,서울특별시 강남구 테헤란로 512 신안빌딩 17층,1467
95,114190,강원,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","18,154,911","9,077,455,500","500",원(KRW),031-358-7683,"전라북도 군산시 자유무역1길 60 웰크론강원 510-9, 510-10, 510-12",1467
96,094480,갤럭시아머니트리,105802,소프트웨어 개발 및 공급업,"39,229,838","19,614,919,000","500",원(KRW),02-3484-8400,서울시 강남구 수서동 715번지 수서오피스 빌딩 12층 ,1467
97,063080,게임빌,105802,소프트웨어 개발 및 공급업,"6,595,192","3,297,596,000","500",원(KRW),02-876-5252,서울특별시 금천구 가산디지털1로 131 에이동 (가산동) ,1467
98,044480,경남바이오파마,032201,고무제품 제조업,"20,127,806","10,063,903,000","500",원(KRW),02-2203-3835,충청북도 증평군  증평읍 광장로 473-3 (주)유니더스,1467
99,039240,경남스틸,032401,1차 철강 제조업,"25,000,000","2,500,000,000","100",원(KRW),055 -252 -9208,경남 창원시 웅남동 61-46번지 ,1467
100,053950,경남제약,032102,의약품 제조업,"17,442,567","8,721,283,500","500",원(KRW),02-3490-5105,경상남도 의령군 동동리 1539-5 ,1467
101,223310,경남제약헬스케어,105802,소프트웨어 개발 및 공급업,"11,396,461","1,139,646,100","100",원(KRW),070-7860-9660,서울특별시 강남구 언주로 702 경남제약타워 10층,1467
102,011040,경동제약,032102,의약품 제조업,"30,768,766","15,684,383,000","500",원(KRW),02  -576 -6121,경기도 화성시  양감면 제약단지로 224-3 ,1467
103,024910,경창산업,033003,자동차 신품 부품 제조업,"35,819,005","17,909,502,500","500",원(KRW),053 -560 -0141,대구광역시 달서구 성서로35길 6 월암동,1467
104,198440,고려시멘트,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","31,979,960","3,197,996,000","100",원(KRW),061-390-6575,전라남도 장성군 장성읍 영천로 35 고려시멘트,1467
105,049720,고려신용정보,147509,기타 사업지원 서비스업,"14,300,000","7,150,000,000","500",원(KRW),02-3450-9000,"서울특별시 서초구 서초대로 353 (서초동, 유니온타워)",1467
106,014570,고려제약,032102,의약품 제조업,"11,000,000","5,500,000,000","500",원(KRW),02-529-6100,경기도 이천시  신둔면 원적로 69-10 ,1467
107,348150,고바이오랩,137001,자연과학 및 공학 연구개발업,"15,518,506","7,759,253,000","500",원(KRW),02-888-9964,"서울특별시 관악구 관악로 1, 220동 628호(신림동, 서울대학교 종합연구동) &nbsp",1467
108,098460,고영,032902,특수 목적용 기계 제조업,"13,730,951","6,865,475,500","500",원(KRW),02-6343-6000,"서울특별시 금천구 가산디지털2로 53 (가산동, 한라시그마밸리 14층, 15층)",1467
109,038530,골드퍼시픽,074604,생활용품 도매업,"66,197,245","33,098,622,500","500",원(KRW),02-2029-0700,"서울특별시 구로구 디지털로30길 28 7층, 702호(구로동, 마리오타워)",1467
110,900280,골든센츄리,116409,기타 금융업,"158,780,000","31,756,000","0.2",미국달러(USD),02-780-8863,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road, Grand Cayman, KY1 - 1205 Cayman Islands -",1467
111,215000,골프존,105802,소프트웨어 개발 및 공급업,"6,275,415","3,137,707,500","500",원(KRW),1577-4333,서울특별시 강남구 영동대로 735 - ,1467
112,121440,골프존뉴딘홀딩스,074601,상품 중개업,"42,836,818","21,418,409,000","500",원(KRW),042-862-8109,서울특별시 강남구 영동대로 735- ,1467
113,014200,광림,033001,자동차용 엔진 및 자동차 제조업,"52,922,234","26,461,117,000","500",원(KRW),043 -260 -9111,충청북도 청원군  현도면 청남로 484 (주)광림 ,1467
114,026910,광진실업,032401,1차 철강 제조업,"6,405,405","3,202,702,500","500",원(KRW),051 -204 -9101,부산 사하구 신평동 370-103 ,1467
115,090150,광진윈텍,033003,자동차 신품 부품 제조업,"9,658,393","4,829,196,500","500",원(KRW),051-711-2222,부산광역시 기장군  장안읍 장안산단9로 110 ,1467
116,355150,교보10호기업인수목적,116409,기타 금융업,"5,320,000","532,000,000","100",원(KRW),02-3771-9125,서울특별시 영등포구 의사당대로 97 교보증권 빌딩 17층,1467
117,307280,교보8호스팩,116601,금융 지원 서비스업,"3,720,000","372,000,000","100",원(KRW),02-3771-9284,서울특별시 영등포구 의사당대로 97 &nbsp,1467
118,331520,교보9호스팩,116601,금융 지원 서비스업,"3,880,000","388,000,000","100",원(KRW),02-3771-9284,서울특별시 영등포구 의사당대로 97 ,1467
119,053270,구영테크,033003,자동차 신품 부품 제조업,"26,394,174","13,197,087,000","500",원(KRW),053-592-6111,대구광역시 달성군 구지면 국가산단대로39길 119 (창리),1467
120,066620,국보디자인,064204,실내건축 및 건축마무리 공사업,"7,500,000","3,750,000,000","500",원(KRW),(02)738-2700,서울 마포구 서교동 477-22 ,1467
121,043650,국순당,031101,알코올음료 제조업,"17,858,304","8,929,152,000","500",원(KRW),02  -5138-500,강원도 횡성군 둔내면 강변로 975 ,1467
122,006050,국영지앤엠,032301,유리 및 유리제품 제조업,"34,895,243","17,447,621,500","500",원(KRW),02-2015-0370,"서울시 서초구 서초중앙로 36 (서초동, 준영빌딩 7층) ",1467
123,060480,국일신동,032402,1차 비철금속 제조업,"11,090,000","5,545,000,000","500",원(KRW),031-499-9192,경기도 안산시 단원구 번영2로 58 &nbsp,1467
124,078130,국일제지,031709,기타 종이 및 판지 제품 제조업,"126,348,384","12,634,838,400","100",원(KRW),(031)339-9100,경기도 용인시 처인구  이동면 백옥대로 563 ,1467
125,307750,국전약품,032102,의약품 제조업,"38,538,019","3,853,801,900","100",원(KRW),02-769-3635,"경기도 안양시 동안구 학의로 282 B동 1516호 (관양동,금강펜테리움)",1467
126,204020,그리티,031401,봉제의복 제조업,"20,147,430","10,393,049,000","500",원(KRW),02-6907-8888,"서울특별시 강남구 언주로151길 7, 2층 (신사동, 주성빌) ",1467
127,186230,그린플러스,032402,1차 비철금속 제조업,"9,607,742","4,803,871,000","500",원(KRW),0413326421,충청남도 예산군 응봉면 응봉로 50-42 &nbsp,1467
128,900070,글로벌에스엠,116409,기타 금융업,"53,743,968","26,871,984","0.5",미국달러(USD),031-932-9970,"GEORGE TOWN,GRAND CAYMAN KY1-1112 CAYMAN ISLANDS SCOTLA CENTRE 4TH FLOOR,P.O.BOX2804,",1467
129,204620,글로벌텍스프리,116601,금융 지원 서비스업,"38,795,339","19,397,669,500","500",원(KRW),02-518-0837,"서울특별시 중구 퇴계로 131 9층(충무로2가, 신일빌딩)",1467
130,019660,글로본,074608,상품 종합 도매업,"30,202,538","15,101,269,000","500",원(KRW),031-698-7300,서울특별시 강남구 도산대로 331 -,1467
131,032860,글로스퍼랩스,053803,"해체, 선별 및 원료 재생업","8,801,103","4,400,551,500","500",원(KRW),02-3452-8449,경기도 가평군 상면 수목원로386번길 75 -,1467
132,053260,금강철강,032401,1차 철강 제조업,"18,720,000","9,860,000,000","500",원(KRW),(02)3471-0001,"서울특별시 서초구  서운로 19 701호(서초동, 서초월드오피스텔)",1467
133,036190,금화피에스시,064203,전기 및 통신 공사업,"6,000,000","3,000,000,000","500",원(KRW),02  -2186-6220,서울특별시 강남구  테헤란로25길 15-4 ,1467
134,049080,기가레인,032902,특수 목적용 기계 제조업,"72,049,635","36,024,817,500","500",원(KRW),031-233-7325,경기도 화성시 동탄산단10길 61 - ,1467
135,035460,기산텔레콤,032604,통신 및 방송 장비 제조업,"14,577,340","7,288,670,000","500",원(KRW),02  -3431-8700,서울특별시 송파구  오금로 111 세기빌딩 11층,1467
136,308100,까스텔바작,074704,"섬유, 의복, 신발 및 가죽제품 소매업","6,596,700","3,298,350,000","500",원(KRW),02-3498-0330,서울특별시 강남구 논현로 322 ,1467
137,187790,나노,032001,기초 화학물질 제조업,"25,797,855","12,898,927,500","500",원(KRW),054-533-5887,경상북도 상주시 청리면 마공공단로 60 -,1467
138,286750,나노브릭,032001,기초 화학물질 제조업,"4,560,103","4,560,103,000","1,000",원(KRW),031-663-9420,경기도 평택시 산단로52번길 68 ,1467
139,151910,나노스,032602,전자부품 제조업,"148,625,347","14,862,534,700","100",원(KRW),031-240-3900,경기도 화성시 마도면 마도공단로2길 4 -,1467
140,121600,나노신소재,032004,기타 화학제품 제조업,"10,848,333","5,424,166,500","500",원(KRW),044-275-6966,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내,1467
141,039860,나노엔텍,032701,의료용 기기 제조업,"26,796,327","13,398,163,500","500",원(KRW),02-6220-7728,서울특별시 구로구  디지털로26길 5 에이스하이엔드타워1차 1210호,1467
142,091970,나노캠텍,032202,플라스틱제품 제조업,"28,080,425","14,040,212,500","500",원(KRW),031-671-9466,경기도 안성시 양성면 양성로 112 -,1467
143,051490,나라엠앤디,032902,특수 목적용 기계 제조업,"14,200,000","7,230,000,000","500",원(KRW),055-239-3600,경상남도 창원시 성산구  공단로 675 나라엠앤디(주) ,1467
144,190510,나무가,032602,전자부품 제조업,"6,871,090","3,633,284,500","500",원(KRW),070-7012-8400,"경기도 성남시 중원구 사기막골로 124, 709호(상대원동, SKn테크노파크) &nbsp",1467
145,242040,나무기술,105802,소프트웨어 개발 및 공급업,"32,400,660","3,240,066,000","100",원(KRW),031-8017-3900,경기도 성남시 분당구 판교로255번길 9-22 4층 ,1467
146,089600,나스미디어,137103,광고업,"8,754,691","4,557,703,000","500",원(KRW),02-2188-7300,"서울특별시 강남구 도곡로1길 14 삼일프라자오피스텔4,5F ",1467
147,293580,나우IB,116409,기타 금융업,"9,480,000","47,400,000,000","5,000",원(KRW),02-565-6234,서울특별시 강남구 삼성로 511 골든타워 11층,1467
148,138610,나이벡,032103,의료용품 및 기타 의약 관련제품 제조업,"9,902,979","4,951,489,500","500",원(KRW),043-532-7458,충청북도 진천군  이월면 밤디길 116 이월전기전자농공1단지,1467
149,130580,나이스디앤비,147509,기타 사업지원 서비스업,"15,400,000","7,700,000,000","500",원(KRW),02-2122-2370,서울특별시 마포구 마포대로 217 (아현동),1467
150,036800,나이스정보통신,106102,전기 통신업,"10,000,000","5,000,000,000","500",원(KRW),02  -2187-2700,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 ,1467
151,267320,나인테크,032902,특수 목적용 기계 제조업,"39,396,554","3,939,655,400","100",원(KRW),031-476-0305,경기도 화성시 양감면 정문회화로 81 ㈜나인테크,1467
152,111710,남화산업,189101,스포츠 서비스업,"20,588,000","4,117,600,000","200",원(KRW),,전라남도 무안군 청계면 서호로 162 ,1467
